Epoch: [0]  [   210/109815]  eta: 15:18:49  lr: 0.000010  class_error: 100.00  grad_norm: 40.46  loss: 7.0734 (8.0073)  loss_ce: 1.9675 (2.0516)  loss_bbox: 3.2138 (4.1829)  loss_giou: 1.7969 (1.7728)  loss_ce_unscaled: 0.9838 (1.0258)  class_error_unscaled: 100.0000 (95.4581)  loss_bbox_unscaled: 0.6428 (0.8366)  loss_giou_unscaled: 0.8985 (0.8864)  cardinality_error_unscaled: 298.0000 (295.2227)  loss_ce_0_unscaled: 1.1024 (1.0980)  loss_bbox_0_unscaled: 0.6625 (0.8435)  loss_giou_0_unscaled: 0.9061 (0.8901)  cardinality_error_0_unscaled: 298.0000 (294.6777)  time: 0.4982  data: 0.0000  max mem: 7348
Epoch: [0]  [   220/109815]  eta: 15:19:53  lr: 0.000010  class_error: 100.00  grad_norm: 39.69  loss: 6.3638 (7.9387)  loss_ce: 2.0109 (2.0524)  loss_bbox: 3.1365 (4.1221)  loss_giou: 1.7730 (1.7642)  loss_ce_unscaled: 1.0054 (1.0262)  class_error_unscaled: 100.0000 (95.6637)  loss_bbox_unscaled: 0.6273 (0.8244)  loss_giou_unscaled: 0.8865 (0.8821)  cardinality_error_unscaled: 298.0000 (295.3258)  loss_ce_0_unscaled: 1.0992 (1.0993)  loss_bbox_0_unscaled: 0.6381 (0.8323)  loss_giou_0_unscaled: 0.8965 (0.8858)  cardinality_error_0_unscaled: 297.0000 (294.7692)  time: 0.5123  data: 0.0000  max mem: 7348
Epoch: [0]  [   230/109815]  eta: 15:20:18  lr: 0.000010  class_error: 100.00  grad_norm: 267.53  loss: 6.8165 (7.8758)  loss_ce: 2.0454 (2.0451)  loss_bbox: 2.8108 (4.0750)  loss_giou: 1.7077 (1.7557)  loss_ce_unscaled: 1.0227 (1.0226)  class_error_unscaled: 100.0000 (95.5988)  loss_bbox_unscaled: 0.5622 (0.8150)  loss_giou_unscaled: 0.8538 (0.8779)  cardinality_error_unscaled: 298.0000 (295.4286)  loss_ce_0_unscaled: 1.0720 (1.0914)  loss_bbox_0_unscaled: 0.5871 (0.8233)  loss_giou_0_unscaled: 0.8867 (0.8820)  cardinality_error_0_unscaled: 297.0000 (294.8571)  time: 0.5134  data: 0.0000  max mem: 7348
Epoch: [0]  [   240/109815]  eta: 15:20:54  lr: 0.000010  class_error: 100.00  grad_norm: 89.78  loss: 8.1206 (7.8750)  loss_ce: 1.9746 (2.0423)  loss_bbox: 4.0917 (4.0744)  loss_giou: 1.8635 (1.7584)  loss_ce_unscaled: 0.9873 (1.0212)  class_error_unscaled: 100.0000 (95.7815)  loss_bbox_unscaled: 0.8183 (0.8149)  loss_giou_unscaled: 0.9318 (0.8792)  cardinality_error_unscaled: 298.0000 (295.5560)  loss_ce_0_unscaled: 0.9706 (1.0894)  loss_bbox_0_unscaled: 0.8324 (0.8237)  loss_giou_0_unscaled: 0.9381 (0.8837)  cardinality_error_0_unscaled: 297.0000 (294.9834)  time: 0.5114  data: 0.0000  max mem: 7348
Epoch: [0]  [   250/109815]  eta: 15:21:33  lr: 0.000010  class_error: 100.00  grad_norm: 79.76  loss: 8.7083 (7.8902)  loss_ce: 2.0119 (2.0452)  loss_bbox: 4.6320 (4.0852)  loss_giou: 1.8865 (1.7598)  loss_ce_unscaled: 1.0059 (1.0226)  class_error_unscaled: 100.0000 (95.5511)  loss_bbox_unscaled: 0.9264 (0.8170)  loss_giou_unscaled: 0.9433 (0.8799)  cardinality_error_unscaled: 298.0000 (295.6693)  loss_ce_0_unscaled: 1.0558 (1.0891)  loss_bbox_0_unscaled: 0.9510 (0.8266)  loss_giou_0_unscaled: 0.9503 (0.8846)  cardinality_error_0_unscaled: 298.0000 (295.0916)  time: 0.5136  data: 0.0000  max mem: 7348
Epoch: [0]  [   260/109815]  eta: 15:21:32  lr: 0.000010  class_error: 100.00  grad_norm: 32.48  loss: 8.7083 (7.8957)  loss_ce: 2.1110 (2.0461)  loss_bbox: 4.6320 (4.0898)  loss_giou: 1.8846 (1.7599)  loss_ce_unscaled: 1.0555 (1.0230)  class_error_unscaled: 100.0000 (95.1469)  loss_bbox_unscaled: 0.9264 (0.8180)  loss_giou_unscaled: 0.9423 (0.8799)  cardinality_error_unscaled: 298.0000 (295.7318)  loss_ce_0_unscaled: 1.1097 (1.0902)  loss_bbox_0_unscaled: 0.9510 (0.8287)  loss_giou_0_unscaled: 0.9502 (0.8850)  cardinality_error_0_unscaled: 298.0000 (295.1686)  time: 0.5100  data: 0.0000  max mem: 7348
Epoch: [0]  [   270/109815]  eta: 15:21:40  lr: 0.000010  class_error: 100.00  grad_norm: 31.88  loss: 8.3898 (7.8894)  loss_ce: 2.0273 (2.0386)  loss_bbox: 4.6952 (4.0955)  loss_giou: 1.8633 (1.7552)  loss_ce_unscaled: 1.0137 (1.0193)  class_error_unscaled: 100.0000 (95.3260)  loss_bbox_unscaled: 0.9390 (0.8191)  loss_giou_unscaled: 0.9316 (0.8776)  cardinality_error_unscaled: 297.0000 (295.7970)  loss_ce_0_unscaled: 1.1224 (1.0867)  loss_bbox_0_unscaled: 1.0080 (0.8306)  loss_giou_0_unscaled: 0.9431 (0.8831)  cardinality_error_0_unscaled: 297.0000 (295.2657)  time: 0.5069  data: 0.0000  max mem: 7348
Epoch: [0]  [   280/109815]  eta: 15:22:43  lr: 0.000010  class_error: 100.00  grad_norm: 115.06  loss: 6.1319 (7.8067)  loss_ce: 1.9603 (2.0273)  loss_bbox: 2.3442 (4.0306)  loss_giou: 1.6389 (1.7488)  loss_ce_unscaled: 0.9801 (1.0137)  class_error_unscaled: 100.0000 (95.3144)  loss_bbox_unscaled: 0.4688 (0.8061)  loss_giou_unscaled: 0.8195 (0.8744)  cardinality_error_unscaled: 298.0000 (295.8754)  loss_ce_0_unscaled: 1.0958 (1.0834)  loss_bbox_0_unscaled: 0.5534 (0.8185)  loss_giou_0_unscaled: 0.8633 (0.8808)  cardinality_error_0_unscaled: 298.0000 (295.3523)  time: 0.5151  data: 0.0000  max mem: 7348
Epoch: [0]  [   290/109815]  eta: 15:22:14  lr: 0.000010  class_error: 100.00  grad_norm: 36.14  loss: 6.1319 (7.8174)  loss_ce: 1.8585 (2.0225)  loss_bbox: 2.3442 (4.0462)  loss_giou: 1.6743 (1.7487)  loss_ce_unscaled: 0.9292 (1.0112)  class_error_unscaled: 100.0000 (95.1317)  loss_bbox_unscaled: 0.4688 (0.8092)  loss_giou_unscaled: 0.8371 (0.8744)  cardinality_error_unscaled: 298.0000 (295.9347)  loss_ce_0_unscaled: 1.0756 (1.0840)  loss_bbox_0_unscaled: 0.5534 (0.8226)  loss_giou_0_unscaled: 0.8709 (0.8815)  cardinality_error_0_unscaled: 298.0000 (295.4399)  time: 0.5106  data: 0.0000  max mem: 7348
Epoch: [0]  [   300/109815]  eta: 15:21:38  lr: 0.000010  class_error: 100.00  grad_norm: 43.03  loss: 7.8873 (7.8214)  loss_ce: 1.8585 (2.0141)  loss_bbox: 4.1942 (4.0587)  loss_giou: 1.8214 (1.7486)  loss_ce_unscaled: 0.9292 (1.0071)  class_error_unscaled: 100.0000 (94.9612)  loss_bbox_unscaled: 0.8388 (0.8117)  loss_giou_unscaled: 0.9107 (0.8743)  cardinality_error_unscaled: 298.0000 (296.0299)  loss_ce_0_unscaled: 1.0756 (1.0804)  loss_bbox_0_unscaled: 0.9078 (0.8261)  loss_giou_0_unscaled: 0.9301 (0.8819)  cardinality_error_0_unscaled: 298.0000 (295.5316)  time: 0.4979  data: 0.0000  max mem: 7348
